count,latitude,longitude,yaw,cmd,pwm,voltage,current,power,energy,distance,heading_diff,waypoint_num
0.1,34.8132752,135.6176881,81.1190900173041,0,50,11.355,0.305,3.475,0.0034750000000000002,5090.805354921667,5.32565301072404,0
0.2,34.8132752,135.6176881,81.1190900173041,0,50,11.355,0.3,3.4,0.006875,5090.805354921667,5.32565301072404,0
0.30000000000000004,34.8132752,135.6176881,81.1190900173041,0,50,11.355,0.304,3.45,0.010325,5090.805354921667,5.32565301072404,0
0.4,34.8132798,135.6177253,81.11553148874653,0,50,11.35,0.31,3.6,0.013925,5094.233825273652,5.325809567401495,0
0.5,34.8132798,135.6177253,81.11553148874653,0,50,11.35625,0.303,3.45,0.017375,5094.233825273652,5.325809567401495,0
0.6,34.8132798,135.6177253,81.11553148874653,0,50,11.355,0.291,3.325,0.020700000000000003,5094.233825273652,5.325809567401495,0
0.7,34.8132798,135.6177253,81.11553148874653,0,50,11.3525,0.3,3.4,0.024100000000000003,5094.233825273652,5.325809567401495,0
0.7999999999999999,34.8132843,135.6177623,81.10570967672005,0,50,11.35375,0.308,3.475,0.027575000000000002,5097.643368492966,5.332346321081894,0
0.8999999999999999,34.8132843,135.6177623,81.10570967672005,0,50,11.35375,0.299,3.4,0.030975000000000003,5097.643368492966,5.332346321081894,0
0.9999999999999999,34.8132843,135.6177623,81.10570967672005,0,50,11.35125,0.301,3.4,0.034375,5097.643368492966,5.332346321081894,0
1.0999999999999999,34.8132866,135.6177808,81.09868141206411,0,50,11.35375,0.298,3.4,0.037775,5099.3484863725,5.337671211554926,0
1.2,34.8132866,135.6177808,81.09956933665622,0,50,11.355,0.294,3.35,0.041125,5099.3484863725,5.336783286962825,0
1.3,34.8132866,135.6177808,81.09956933665622,0,50,11.355,0.296,3.35,0.044475,5099.3484863725,5.336783286962825,0
1.4000000000000001,34.8132912,135.617818,81.0980462044713,0,50,11.355,0.291,3.325,0.0478,5102.776999800236,5.334915744965656,0
1.5000000000000002,34.8132912,135.617818,81.0980462044713,0,50,11.35375,0.29,3.275,0.051075,5102.776999800236,5.334915744965656,0
1.6000000000000003,34.8132912,135.617818,81.0980462044713,0,50,11.35375,0.296,3.475,0.05455,5102.776999800236,5.334915744965656,0
1.7000000000000004,34.8132912,135.617818,81.0980462044713,0,50,11.35375,0.293,3.325,0.057875,5102.776999800236,5.334915744965656,0
1.8000000000000005,34.8132958,135.6178549,81.08704959990757,0,50,11.355,0.301,3.4,0.061275,5106.178133961788,5.342507204831005,0
1.9000000000000006,34.8132958,135.6178549,81.08704959990757,0,50,11.35375,0.294,3.325,0.0646,5106.178133961788,5.342507204831005,0
2.0000000000000004,34.8132958,135.6178549,81.08704959990757,0,50,11.35625,0.295,3.35,0.06795000000000001,5106.178133961788,5.342507204831005,0
2.1000000000000005,34.8132981,135.6178735,81.07795178793312,0,50,11.3525,0.299,3.325,0.071275,5107.892405928367,5.34991364596031,0
2.2000000000000006,34.8132981,135.6178735,81.07795178793312,0,50,11.355,0.3,3.4,0.074675,5107.892405928367,5.34991364596031,0
2.3000000000000007,34.8132981,135.6178735,81.07795178793312,0,50,11.3525,0.295,3.35,0.07802500000000001,5107.892405928367,5.34991364596031,0
2.400000000000001,34.8133028,135.6179106,81.07795178793312,0,50,11.3525,0.313,3.575,0.0816,5111.312513295822,5.346403277943444,0
2.500000000000001,34.8133028,135.6179106,81.07795178793312,0,50,11.35375,0.295,3.35,0.08495000000000001,5111.312513295822,5.346403277943444,0
2.600000000000001,34.8133028,135.6179106,81.07795178793312,0,50,11.35625,0.296,3.35,0.08830000000000002,5111.312513295822,5.346403277943444,0
2.700000000000001,34.8133028,135.6179106,81.07795178793312,0,50,11.355,0.3,3.4,0.09170000000000002,5111.312513295822,5.346403277943444,0
2.800000000000001,34.8133075,135.6179475,81.07360095743182,0,50,11.35375,0.311,3.525,0.09522500000000002,5114.714375086533,5.347235738102438,0
2.9000000000000012,34.8133075,135.6179475,81.07360095743182,0,50,11.3525,0.296,3.35,0.09857500000000002,5114.714375086533,5.347235738102438,0
3.0000000000000013,34.8133075,135.6179475,81.07360095743182,0,50,11.355,0.303,3.45,0.10202500000000002,5114.714375086533,5.347235738102438,0
3.1000000000000014,34.8133098,135.6179659,81.0631507680017,0,50,11.35375,0.291,3.325,0.10535000000000001,5116.410405157185,5.3559875979581415,0
3.2000000000000015,34.8133098,135.6179659,81.0631507680017,0,50,11.35625,0.301,3.4,0.10875000000000001,5116.410405157185,5.3559875979581415,0
3.3000000000000016,34.8133098,135.6179659,81.0631507680017,0,50,11.3525,0.298,3.4,0.11215000000000001,5116.410405157185,5.3559875979581415,0
3.4000000000000017,34.8133146,135.618003,81.06189401319442,0,50,11.3525,0.296,3.35,0.11550000000000002,5119.831243244134,5.353621148498879,0
3.5000000000000018,34.8133146,135.618003,81.06189401319442,0,50,11.35375,0.293,3.325,0.11882500000000001,5119.831243244134,5.353621148498879,0
3.600000000000002,34.8133146,135.618003,81.06189401319442,0,50,11.35375,0.293,3.325,0.12215000000000001,5119.831243244134,5.353621148498879,0
3.700000000000002,34.8133146,135.618003,81.06189401319442,0,50,11.355,0.306,3.475,0.12562500000000001,5119.831243244134,5.353621148498879,0
3.800000000000002,34.8133169,135.6180216,81.0582535223668,0,50,11.35375,0.31,3.525,0.12915000000000001,5121.545551158746,5.355579449286016,0
3.900000000000002,34.8133169,135.6180216,81.0582535223668,0,50,11.35375,0.294,3.325,0.132475,5121.545551158746,5.355579449286016,0
